apogee_id,period (days)
2M00202240+6850491,1.27
2M00205360+6227314,1.88
2M00205384-7236269,1.0
2M00205922+6529598,1.0
2M00210121+6246144,1.49
2M00210781+5445254,1.0
2M00211297+6238345,1.46
2M00212224+6700192,1.35
2M00212642+5803567,1.11
2M00212743-7221413,1.0
2M00212790-7249513,1.0
2M00213429+5855479,1.36
2M00213704-7635534,1.0
2M00214840+8521385,1.0
2M00215139+5758057,1.0
2M00215480+7114390,1.94
2M00215670+6330397,1.22
2M00215883+6758451,1.52
2M00220009+6256480,1.15
2M00220340+6211063,1.09
2M00220755+6731592,1.19
2M00221009-7621503,1.55
2M00222495+5505279,1.0
2M00223476-7739369,1.0
2M00223742-7618285,1.0
2M00223773-7247163,1.0
2M00223923-7252066,1.0
2M00224443+8448486,1.42
2M00224682+5535581,1.0
2M00225114+6202031,1.0
2M00225315-7646397,1.14
2M00225332+6214290,1.35
2M00225867-7700068,1.0
2M00230121+5741485,1.0
2M00230158-7250574,1.0
2M00230560-7237309,1.0
2M00230781+6635311,1.01
2M00231234+6410322,1.17
2M00231353+5448125,1.3
2M00231613-7643271,1.28
2M00231764-7251586,1.0
2M00232413+5548077,1.0
2M00232472+6705313,1.0
2M00232802-7226365,1.0
2M00233462+8436507,1.04
2M00234308+2924036,1.01
2M00234374+5950532,1.88
2M00234573+5353478,1.03
2M00235052+7401500,1.82
2M00240017+5852529,1.18
2M00240351+6227079,1.77
2M00240366+6530599,1.37
2M00240615+6810445,1.87
2M00240906-7135417,1.0
2M00241366+5907430,1.0
2M00241698+5832521,1.51
2M00241962+5740007,1.07
2M00242224-7722083,1.03
2M00243926-7735213,1.0
2M00245390+5353002,1.01
2M00245787+6212255,1.1
2M00245928+5018403,1.04
2M00250233-7655199,1.0
2M00250471+5043411,1.0
2M00251849-7140074,1.0
2M00252362+7109463,1.75
2M00252980-7724213,1.03
2M00255124+7148258,1.46
2M00255226+6523008,1.01
2M00260267+6750452,1.27
2M00260509+6222219,1.23
2M00260544+6626579,1.01
2M00261497+5600315,1.0
2M00261904+6654477,1.04
2M00263087+5606474,1.04
2M00263418-7243447,1.0
2M00263839-7250239,1.0
2M00264535+6243456,1.01
2M00264703+5716533,1.88
2M00265434+5026553,1.0
2M00270702+5347329,1.0
2M00270708-7148244,1.01
2M00271010+5432361,1.0
2M00271112+5434331,1.43
2M00271245+4959086,1.12
2M00272392+5130104,1.0
2M00272937+5128038,1.0
2M00273477+5442589,1.02
2M00273876-7221460,1.0
2M00274050+5833140,1.77
2M00274119+5751478,1.0
2M00274757+6956505,1.04
2M00275411+5335338,1.05
2M00275487+5159211,1.03
2M00275678+6855329,1.52
2M00275812+5605191,1.09
2M00281188+5905318,1.0
2M00281201+5015118,1.38
2M00281591+5322191,1.0
2M00281721-7236030,1.0
2M00282790+5558252,1.0
2M00283062+6947472,1.66
2M00283140+5108248,1.28
2M00283149-7756150,1.04
2M00283385-7210088,1.0
2M00283822+5833027,1.0
2M00284036+8418313,1.65
2M00284518+6239253,1.02
2M00284783+8600333,1.0
2M00285069-7801198,1.03
2M00290404-7245309,1.0
2M00290606+5123174,1.46
2M00290779-7143413,1.0
2M00291258+5538530,1.0
2M00292757-7213507,1.0
2M00293356+5534199,1.03
2M00293538+4942223,1.0
2M00293680-7242086,1.0
2M00293752-7134465,1.03
2M00293803-7133259,1.0
2M00293898+6641295,1.01
2M00294036+5011466,1.08
2M00295299-7158462,1.0
2M00295390+5612073,1.19
2M00295636+5344534,1.0
2M00295684+6356284,1.01
2M00295811+6702233,1.01
2M00300409+8408253,1.51
2M00300745-7216008,1.0
2M00300848+6246456,1.07
2M00300919-7205488,1.0
2M00301547+6235219,1.63
2M00301689+5128292,1.01
2M00301771-7240040,1.0
2M00301977+5339299,1.0
2M00302055+8538318,1.0
2M00302134-7159514,1.0
2M00302181+7115056,1.33
2M00304380+6752210,1.0
2M00304414+5040329,1.0
2M00304588-7226155,1.01
2M00304683+6639228,1.0
2M00304924+6607517,1.0
2M00304946+6140582,1.0
2M00305006+7107566,2.01
2M00305560-7247508,1.0
2M00305850+6342410,1.03
2M00310409+5721563,1.0
2M00310550+8501361,1.0
2M00310678+8508494,1.04
2M00311664+6220376,1.82
2M00312524+6631105,1.96
2M00312834-7752399,1.0
2M00313144+6010201,1.01
2M00313996+5803320,1.07
2M00314111-7217033,1.0
2M00314155+5359061,1.0
2M00314443-7221323,1.0
2M00314827+7045524,1.2
2M00314911+8426360,1.54
2M00315100+4928307,1.32
2M00315472+6749124,1.14
2M00315503+5011363,1.45
2M00320042-7246280,1.16
2M00320067+5424314,1.27
2M00320116+6223293,1.0
2M00320273+6857342,1.05
2M00320426+8522568,1.0
2M00320915+5417395,1.0
2M00320946+6918508,1.21
2M00321703+5949210,1.0
2M00321739+5550532,1.0
2M00322120+8518390,1.09
2M00322911+6614155,1.55
2M00322930-7205409,1.0
2M00323056-7735199,1.0
2M00323303+4958559,1.0
2M00323366+5512530,1.04
2M00323575-7156157,1.0
2M00323696+6553371,1.0
2M00324108-6739566,1.0
2M00325160+4919393,1.0
2M00325695+5413585,1.59
2M00325788+8554291,1.93
2M00325802+5738407,1.0
2M00325853-7637396,1.57
2M00330282-7640294,1.03
2M00330979-7251523,1.0
2M00331236+6300491,1.0
2M00331649+5545384,1.93
2M00331755+5346217,1.01
2M00332872-7217050,1.0
2M00333251-7155466,1.0
2M00333804-7149152,1.0
2M00333811+5325562,1.54
2M00334118-7146419,1.0
2M00334320+8523017,1.0
2M00335225+5506008,1.0
2M00335943-7210077,1.0
2M00340439-6814508,1.0
2M00341264+5403592,1.09
2M00341690+5507129,1.0
2M00342021-6801289,1.01
2M00342217+5344504,1.0
2M00342491+6645012,1.0
2M00342920+4919034,1.0
2M00342939-6807221,1.65
2M00342952-7721294,1.28
2M00342958+8502436,1.0
2M00343079+6641461,1.0
2M00343382+5740459,1.19
2M00343487+8452069,1.26
2M00343745+6730594,1.0
2M00344379+8522254,1.49
2M00344435+5159462,1.18
2M00344509+8512058,1.01
2M00345023+5342120,1.0
2M00345253+6622420,1.0
2M00345656-7308039,1.0
2M00345870+6210173,1.57
2M00345951+5558383,1.0
2M00350294+5335349,1.0
2M00350429+8459198,1.0
2M00351465+5604583,1.54
2M00352912+5412127,1.0
2M00353528+5329200,1.08
2M00353964-7658099,1.0
2M00354081+5518354,1.05
2M00354746+5524498,1.0
2M00354754+5508409,1.0
2M00354767+5542260,1.07
2M00355531-6736536,1.4
2M00355602-7309403,1.01
2M00355735+5332353,1.0
2M00360002+5519491,1.18
2M00360253+5113138,1.04
2M00360579+8548533,1.0
2M00360773+8534155,1.0
2M00362840+5058017,1.0
2M00363395+5819546,1.34
2M00363416+8529046,1.1
2M00364343+4124347,1.0
2M00364423+5810121,1.4
2M00364893+5331431,1.18
2M00365082-6823239,1.0
2M00365510-7318085,1.0
2M00370029+5006516,1.0
2M00370127-6801335,1.05
2M00370278+5519301,1.0
2M00371053-7349353,1.0
2M00371088+5550097,1.74
2M00371307+5130565,1.0
2M00371632+5800583,1.1
2M00373191-7250065,1.01
2M00374199-7341252,1.0
2M00374463-6707510,1.0
2M00375331-7347251,1.0
2M00375455+8430418,1.88
2M00375577-7343181,1.35
2M00375990+5441026,1.0
2M00380352+5526114,1.0
2M00380768+5127296,1.0
2M00380988+6251111,1.55
2M00381364-6752531,1.0
2M00381938+8401582,1.27
2M00383048+5402046,1.9
2M00383864+8523453,1.32
2M00384062-7308156,1.12
2M00384381+5123283,1.32
2M00384404-6806147,1.0
2M00384703+8351001,1.0
2M00384716+8558075,1.0
2M00384777+5815007,1.32
2M00385579+8605109,1.45
2M00392773+5851477,1.37
2M00392791+5448505,1.0
2M00392934+8500595,1.0
2M00393073-7327121,1.0
2M00393440+5458390,1.0
2M00393602+8427581,1.0
2M00393636+8359378,1.0
2M00393993-6659557,1.13
2M00394642-6750423,1.0
2M00395336+8431073,1.3
2M00400247-7347517,1.0
2M00400320+5443539,1.9
2M00400810-6750137,1.54
2M00401172+5854561,1.22
2M00401679+4152270,1.19
2M00403218-7234116,1.01
2M00403335+5027498,1.04
2M00404022+4154378,1.63
2M00404994+5459251,1.41
2M00405458+5059114,1.0
2M00405798+4143509,1.0
2M00411481-6736503,1.45
2M00412090+4220377,1.18
2M00412224+8428397,1.13
2M00412826-7305475,1.0
2M00413153-7350141,1.0
2M00414403-6839132,1.01
2M00415117-7249279,1.01
2M00415285-7324070,1.0
2M00423528+4034138,1.01
2M00423679-6716529,1.0
2M00423851-7245273,1.0
2M00423867-7343474,1.0
2M00424585-7326550,1.0
2M00425213-6700471,1.21
2M00425752-6659570,1.0
2M00430528-6725071,1.52
2M00430766-7244505,1.0
2M00430905+8407348,1.07
2M00434801+4216557,1.68
2M00434896+8414430,1.0
2M00440032+4243538,1.3
2M00440372-7318227,1.0
2M00441454-7350070,1.62
2M00441812+8516024,2.01
2M00444105+8351358,1.0
2M00445628-7322566,1.01
2M00450395-7321244,1.0
2M00450456-7305276,1.0
2M00451677-7230354,1.0
2M00451697-6808456,1.0
2M00453221-7256001,1.01
2M00453420+4141440,1.1
2M00453684-6800272,1.0
2M00454489+8504180,1.0
2M00454809-7300198,1.0
2M00455347-7244524,1.0
2M00455552-6701539,1.0
2M00460669+4017447,1.1
2M00461124-7303395,1.0
2M00461260-6814199,1.0
2M00461567-7247027,1.0
2M00461599-6759325,1.0
2M00462139-7251132,1.0
2M00463801+8441448,1.11
2M00463920+8523336,1.0
2M00464140-7251258,1.0
2M00464322-7325136,1.0
2M00464873-7239263,1.0
2M00465145-6730447,1.0
2M00465194+8459289,1.0
2M00465308-7242518,1.02
2M00465759+4153366,1.82
2M00470322+4157533,1.76
2M00470766+8450488,1.08
2M00471688-7308085,1.0
2M00471754-7236361,1.0
2M00471814-7310393,1.04
2M00472000-7250317,1.0
2M00472212-6825100,1.31
2M00472475+8503000,1.4
2M00472830-6707496,1.01
2M00473587-6742384,1.02
2M00473688-7304441,1.0
2M00474332+4018549,1.38
2M00475074-7308522,1.09
2M00480522-7235250,1.33
2M00481014-7043047,1.0
2M00482679+4026065,1.01
2M00482702-7312123,1.0
2M00483193-7307443,1.0
2M00483539-6743122,1.0
2M00484542-7255274,1.0
2M00485578-7307331,1.0
2M00490034-7259358,1.0
2M00490383-7305198,1.52
2M00490449+8628293,1.0
2M00490818-7314155,1.0
2M00491034-7258093,1.11
2M00492006-7339564,1.0
2M00492955+4017583,1.0
2M00493038-7319059,1.0
2M00493147+8500016,1.23
2M00493327-6753339,1.0
2M00493437-7314096,1.0
2M00493548+8352375,1.11
2M00493737-7307555,1.0
2M00494797-7102499,1.0
2M00500362+4207080,1.06
2M00500435-7044113,1.0
2M00501412-7243404,1.04
2M00502660+4048297,1.01
2M00503158-7328425,1.34
2M00503519-7327015,1.01
2M00503792-7125465,1.0
2M00504066+8453499,1.0
2M00504874-7241200,1.0
2M00505793+8425209,1.0
2M00510385-7243176,1.0
2M00510723-7341334,1.01
2M00510861-7117344,1.0
2M00512193+8414423,1.02
2M00513014+4113545,1.15
2M00513080-7301233,1.32
2M00513648+8443583,1.0
2M00520253-7109390,1.0
2M00521538-7248570,1.0
2M00522705-7337323,1.0
2M00522826-7015580,1.48
2M00530489-7238000,1.34
2M00530607-7317299,1.0
2M00531666-7122013,1.0
2M00531878-7050014,1.0
2M00532016+8508553,1.01
2M00534519-7122073,1.0
2M00540491-7132437,1.0
2M00540699-7318143,1.01
2M00541554-7113223,1.0
2M00543604-7323063,1.0
2M00544053-7133028,1.0
2M00545814-7144514,1.0
2M00551101+8522510,1.0
2M00552776-7243454,1.0
2M00554139-7116543,1.85
2M00554849-7539197,1.0
2M00555518-6512090,4.8
2M00555685-7520042,1.0
2M00560170-7040210,1.19
2M00561060-7536166,1.0
2M00561095+8527325,1.0
2M00561312-7606525,1.04
2M00561381+8450190,1.19
2M00563217-7602416,1.04
2M00563752-7201397,1.65
2M00564797-7304045,1.01
2M00564920-7539337,1.0
2M00570210-7502416,1.8
2M00571640-6519351,2.18
2M00571985-7150353,1.0
2M00572040-7143073,1.0
2M00572329-7201360,1.14
2M00572429-7126345,1.0
2M00572799-7547016,1.01
2M00572855-7146547,1.0
2M00574674-7516499,1.04
2M00574682-7124117,1.0
2M00574795+8502290,1.25
2M00575006-3340047,1.0
2M00580000-6539538,1.08
2M00580050-7133017,1.0
2M00580550-6534341,24.0
2M00580840-6516258,1.06
2M00581221+8435283,1.0
2M00581241-6445418,2.79
2M00581656-3325167,1.03
2M00582269+8427411,1.31
2M00583055-7547009,1.0
2M00583549-7037189,1.0
2M00583967-7556061,1.0
2M00584264-7536375,1.0
2M00585434-7156383,1.0
2M00585533+8613304,1.06
2M00590275-7149323,1.0
2M00590481-3338442,1.01
2M00590518-7115447,1.0
2M00591023-7143272,1.01
2M00591224-7505176,1.0
2M00591578-7527222,1.01
2M00591655-7045427,1.0
2M00591976-7151594,1.0
2M00592046-7121424,1.0
2M00592065-3348566,1.0
2M00592529-7033095,1.0
2M00592830-3342073,1.01
2M00593443-6547508,120.0
2M00593538-3344094,1.0
2M00593852-3342534,1.75
2M00594060-7518024,1.0
2M00594317-3356467,1.0
2M00594684-7131002,1.0
2M00594811+8421301,1.34
2M00595832-7148232,1.0
2M01000007-3338343,1.0
2M01000955-7611233,1.0
2M01001006-7010362,1.11
2M01001011-3300456,1.0
2M01001580-6507525,1.1
2M01001630-3342371,1.0
2M01001821-3331405,1.0
2M01001902-6418290,0.99
2M01001988-7122465,1.0
2M01002054-7023208,1.0
2M01002322-7512525,1.0
2M01002337-7159334,1.03
2M01002405-6944037,1.0
2M01002531-3350506,1.0
2M01002744-3353032,1.0
2M01002925-7459377,1.0
2M01002926-6452094,120.0
2M01003077-3337306,1.0
2M01003285-3336075,1.01
2M01003633-7505096,1.0
2M01004074-7132301,1.0
2M01004810-7048172,1.0
2M01004909-7518572,1.0
2M01005021-6432432,9.23
2M01005274-3347571,1.0
2M01005726-7533247,1.01
2M01005761-6533571,1.04
2M01010434-3328596,1.44
2M01011042-7132198,1.07
2M01011056-7521500,1.0
2M01011162-7141529,1.0
2M01011432-7558132,1.0
2M01011457-3330094,1.01
2M01012084-3353047,1.01
2M01012180-7157174,1.0
2M01012434-7030483,1.0
2M01012460-3338346,1.01
2M01012834-7109179,1.01
2M01013134+8424428,1.0
2M01013286+8416108,1.0
2M01013944-7456409,1.0
2M01014538-7459453,1.01
2M01014814-7502596,1.0
2M01015043-7551310,1.43
2M01015905-6524320,120.0
2M01020039-7533575,1.0
2M01020879-3329106,1.0
2M01021439-6532399,0.99
2M01022532-3339501,1.22
2M01023117-7112502,1.0
2M01024100-7141312,1.0
2M01025494-6507291,13.33
2M01025806-7145379,1.0
2M01030028-6859225,1.01
2M01030091-3348162,1.0
2M01030754-7547550,1.0
2M01030792-7515449,1.0
2M01031380-7605011,1.06
2M01032313-7055364,1.0
2M01032318-7125429,1.0
2M01032324-7111421,1.0
2M01033266-7536136,1.01
2M01033422-7056474,1.0
2M01033978+8436248,1.0
2M01034947-7043484,1.0
2M01040705-7620511,1.0
2M01041209-7126202,1.0
2M01041358-7125155,1.0
2M01043700-7459231,1.0
2M01045010-6502426,2.67
2M01045184+8535464,1.01
2M01045454-7129135,1.0
2M01045542-7003520,1.01
2M01050200-7544323,1.0
2M01050424-7545352,1.0
2M01050780-7056119,1.0
2M01051436-6603482,1.01
2M01055277-7457444,1.0
2M01055419-7502580,1.0
2M01055792-7119135,1.0
2M01055860-7617508,1.0
2M01060250-7623446,1.0
2M01061158-6911460,1.01
2M01061209-7508149,1.0
2M01062491-7522578,1.84
2M01062912-7542198,1.0
2M01064280-0841503,1.35
2M01064636-7516043,1.0
2M01064712-7549478,1.01
2M01065145-6551030,1.29
2M01070124-7547437,1.0
2M01071003+8427224,1.03
2M01071163-7109441,1.0
2M01072594-0920260,1.03
2M01073054-0922003,1.04
2M01073140-0914171,1.1
2M01073338-6858557,1.35
2M01074452-7550167,1.01
2M01080330-7621509,1.0
2M01080729-7303268,1.04
2M01081031-7315524,1.0
2M01082463-0900521,1.01
2M01082500-6833226,1.0
2M01082659-6932264,1.01
2M01083937+8550346,1.0
2M01084338-7553268,1.0
2M01084424-7314507,1.03
2M01084424-7608484,1.0
2M01085752+8445142,1.03
2M01085875-0805296,1.04
2M01091018-6458119,120.0
2M01091827-0916299,1.39
2M01091917-0859237,1.01
2M01092592+8359366,1.0
2M01092733-6555195,1.01
2M01092803-0935236,1.03
2M01093104-0914060,1.03
2M01093824-7320024,1.0
2M01094780-0828194,1.2
2M01100445-7305583,1.0
2M01101449-7314159,1.0
2M01101598-7245138,1.0
2M01102693-7235486,1.0
2M01103121-6858332,1.0
2M01103434-7457264,1.0
2M01103812-7528064,1.0
2M01103970-7616420,1.08
2M01104140-0810009,1.0
2M01104982-7504122,1.0
2M01105044-6446205,1.1
2M01105902-0922071,1.0
2M01111047-7305114,1.24
2M01112277-0822370,1.18
2M01112347-7243188,1.5
2M01112585-7309234,1.0
2M01114104-8404145,1.0
2M01114180-0826030,1.0
2M01114766-0839026,1.04
2M01115470-0922123,1.03
2M01120611-7305296,1.0
2M01122331-7307502,1.01
2M01122845-0921570,1.04
2M01124415-7334543,1.04
2M01125082-7258222,1.0
2M01125354-7544112,1.47
2M01125425-7311237,1.0
2M01130115-7231336,1.0
2M01130838-7320236,1.0
2M01131488-7311256,1.0
2M01132629-7239112,1.0
2M01133050-7320102,1.58
2M01133229-7345467,1.24
2M01134180-7453389,1.0
2M01135282-7519286,1.0
2M01135363-7233183,1.0
2M01135475-7309185,1.0
2M01135809-7317474,1.2
2M01141606-7252374,1.0
2M01141611-7512310,1.0
2M01144475-7322090,1.0
2M01145093-7226482,1.03
2M01145631-7346247,1.0
2M01150666-7336456,1.0
2M01151125-7327109,1.0
2M01151475-7338069,1.04
2M01151487-7321065,1.0
2M01151531-7316573,1.0
2M01152861-7237560,1.51
2M01153194+8427055,1.0
2M01153675+8456400,1.0
2M01154526+8505404,1.87
2M01155512+8515296,1.02
2M01155965-7557508,1.26
2M01160837-7529455,1.0
2M01161106-7231223,1.0
2M01161129-7602034,1.0
2M01161728-7534076,1.43
2M01163028-7304101,1.0
2M01164762-7307472,1.0
2M01165818-7343107,1.04
2M01165968-8408465,1.23
2M01170267-7309203,1.0
2M01171592-7239232,1.0
2M01172046-7237217,1.0
2M01172841-7554103,1.0
2M01173111-7555456,1.01
2M01173142-7309431,1.0
2M01173245-7509207,1.0
2M01175132-7316470,1.61
2M01175301-7337252,1.05
2M01175473-7319362,1.0
2M01180951-7454385,1.04
2M01181301-7508028,1.0
2M01181698-7524004,1.0
2M01182994-7329561,1.0
2M01184072-8353166,1.0
2M01184860-7234216,1.0
2M01185690-7517216,1.0
2M01185920+8523127,1.0
2M01191097-7313463,1.01
2M01191656-7544127,1.01
2M01192067-7525304,1.23
2M01193634+8435481,1.37
2M01194897+8532293,1.14
2M01195023-7241057,1.51
2M01200992+8445276,1.0
2M01201428-7244573,1.37
2M01201723+8552588,1.01
2M01204398-7321119,1.01
2M01210284+8431304,1.02
2M01212060-7323217,1.01
2M01213171-7339563,1.25
2M01214991-7502252,1.01
2M01220830-7315566,1.0
2M01221087-7322352,1.0
2M01221103-7351336,1.01
2M01221847-7432419,1.17
2M01224552+8443355,1.0
2M01225971-7335020,1.54
2M01230142+8452264,1.04
2M01231029-8350234,1.12
2M01233548-7347168,1.0
2M01241079-7322099,1.24
2M01243087+8501073,1.78
2M01243838-7442498,1.0
2M01245277-7505054,1.31
2M01245406-7326490,1.0
2M01245525-7413155,1.0
2M01250592+8444252,1.0
2M01252468-7428300,1.0
2M01253150-8358156,1.0
2M01253466-7518367,76.0
2M01253603-7233015,1.0
2M01253885-7321552,1.0
2M01255668-8444059,1.23
2M01260996-7323151,1.0
2M01261078-7224290,1.03
2M01261301-7408040,1.09
2M01264529-7228178,1.0
2M01270943-8451353,1.11
2M01271576+3102146,1.37
2M01273937+3106013,1.29
2M01274603-8438545,1.08
2M01274940-8402367,1.0
2M01274994-7307066,1.0
2M01280051-7532280,6.44
2M01282954+8522331,1.54
2M01283574-7717482,1.01
2M01284102+8612222,1.0
2M01284628-7540327,380.0
2M01290224-7419314,380.0
2M01291370-7120144,1.01
2M01291727-7243202,1.01
2M01291844-7301590,1.0
2M01292195+8500424,1.03
2M01292717-7300378,1.14
2M01293428-7123170,1.0
2M01293472-7401445,1.0
2M01294486-7243572,1.03
2M01295058-8353110,1.0
2M01295347+3138305,1.0
2M01295613-7713076,1.11
2M01295882-8420173,1.0
2M01300493-7104343,1.0
2M01300743+2930313,1.0
2M01301367-7324029,1.0
2M01303394+8448102,1.0
2M01303476-7637059,1.57
2M01304108+8553271,1.0
2M01305511-7115569,1.0
2M01315021-7125256,1.0
2M01315433-8359139,1.01
2M01315742-7635034,1.0
2M01320010+3021563,1.0
2M01320817+0120301,1.27
2M01322115+2943236,1.01
2M01322745-7115546,1.0
2M01323359-7428528,126.67
2M01324907-7129533,1.0
2M01324957-7131446,1.0
2M01332525+2915079,1.01
2M01332689-7149548,1.0
2M01332736-8439330,1.0
2M01333708+3023213,1.12
2M01333718-7145366,1.0
2M01334071-7037491,1.34
2M01334570-7110540,1.0
2M01335103+2942545,1.0
2M01340133-8330137,1.0
2M01340922-8442127,1.33
2M01342355-7453443,1.01
2M01342922-7050484,1.19
2M01343693+3046219,1.0
2M01344263+3025280,1.45
2M01344491-7038172,1.0
2M01345674+3144330,1.01
2M01350753-8430043,1.0
2M01351468-7031391,1.0
2M01351497-7141374,1.0
2M01352214-7130232,1.0
2M01352517-7117126,1.0
2M01352518-7058477,1.0
2M01353181-7108077,1.03
2M01354636+8419272,1.01
2M01355118+3019287,1.26
2M01355746-7112394,1.88
2M01360405-7147188,1.13
2M01361389+3016455,1.0
2M01362423-7042041,1.0
2M01363603-8320423,1.0
2M01363649-7100453,1.02
2M01363941-7149014,1.05
2M01365186-7135295,1.0
2M01370111-8450589,1.07
2M01370725+3117252,1.12
2M01371007-7148077,1.0
2M01371341-7517342,1.0
2M01372521-8504048,1.0
2M01373407-7122593,1.52
2M01374757+8542515,1.0
2M01375409-7133340,1.0
2M01375520+3118344,1.87
2M01380567+2946045,1.01
2M01381395-7144048,1.01
2M01383393+8556116,1.0
2M01384262-7534366,1.65
2M01384749-8458524,1.0
2M01384755-7058231,1.0
2M01390299+2955102,1.0
2M01391643-7437312,1.51
2M01392806+3128444,1.01
2M01394212-7052155,1.0
2M01394349-7108248,1.0
2M01394436-7027135,1.0
2M01395531-8453191,1.0
2M01403664-8430306,1.0
2M01410114+8535378,1.0
2M01410986-7035599,1.0
2M01411336-7144317,1.01
2M01412279-7116433,1.0
2M01412459-7419070,3.19
2M01412997-7716501,1.01
2M01413669-7027472,1.0
2M01414772-7109473,1.0
2M01415794+8520066,1.01
2M01420480-7123259,1.0
2M01423430-7122117,1.0
2M01423670-7016201,1.01
2M01424696+8430064,1.0
2M01434867-7121536,1.01
2M01435235-7144514,1.0
2M01440501-7144459,1.0
2M01441860-7127119,1.0
2M01443395-7059159,1.0
2M01444652-7133518,1.0
2M01450015+8441346,1.0
2M01450379-7431326,54.29
2M01451693-7053411,1.57
2M01452083-7105192,1.02
2M01465342-7125385,1.83
2M01465498-7128062,1.0
2M01465551-7052572,1.0
2M01465810+8528250,1.29
2M01471478-7129291,1.0
2M01471727-7139434,1.33
2M01481367+8517578,1.02
2M01481674-7103378,1.0
2M01495312-8420208,1.0
2M01495752+8542311,1.69
2M01503861+8503305,1.02
2M01504299-8433085,1.0
2M01511750-8328356,1.0
2M01514663+3811052,1.28
2M01522822+8459249,1.01
2M01530575+3717253,1.01
2M01532282+3745197,1.0
2M01533329+3827123,1.0
2M01541206-8413393,1.0
2M01544146+3801240,1.13
2M01550869-7310216,1.0
2M01552905+3821127,1.13
2M01554789+3803416,1.09
2M01555302+3747219,1.48
2M01555729+8524220,1.0
2M01561714+8458408,1.0
2M01563255+3822229,1.0
2M01563309-8428462,1.0
2M01564975+3801216,1.0
2M01565185-7307509,1.84
2M01565939-8436584,1.0
2M01572108+3820093,1.01
2M01573735+3729276,1.0
2M01574051+3726489,1.02
2M01575786-8342321,1.31
2M01581877+3748109,1.2
2M01581903-7357321,1.11
2M01581919-7253366,1.0
2M01583432-7403315,1.28
2M01584997+3759465,1.0
2M01585163+3741076,1.09
2M01585679+3843043,1.07
2M01594361-7352168,1.39
2M01594872+3808543,1.0
2M02001203-8440360,1.0
2M02001615+3738015,1.0
2M02001749+3835511,1.0
2M02005339-8401100,1.0
2M02012547+3739277,1.0
2M02014347+3706447,1.0
2M02014367-7253315,1.0
